plc_address,zero_based_address,register_1,register_2,interpretation,decoded_value
42132,2131,9021,,UInt16 / 10,902.1
42132,2131,9021,,UInt16 / 100,90.21
42132,2131,9021,,UInt16 / 1000,9.021
42133,2132,39577,55616,Float DCBA,6.800000190734863
42133,2132,39577,,Int16 / 100,-259.59
42133,2132,39577,,Int16 / 1000,-25.959
42133,2132,39577,,UInt16 / 10,3957.7
42133,2132,39577,,UInt16 / 100,395.77
42133,2132,39577,,UInt16 / 1000,39.577
42134,2133,55616,0,Float BADC,6.78125
42134,2133,55616,,Int16 / 10,-992.0
42134,2133,55616,,Int16 / 100,-99.2
42134,2133,55616,,Int16 / 1000,-9.92
42134,2133,55616,,UInt16 / 10,5561.6
42134,2133,55616,,UInt16 / 100,556.16
42134,2133,55616,,UInt16 / 1000,55.616
42135,2134,0,2113,Float DCBA,8.5
42136,2135,2113,0,Float BADC,8.5
42136,2135,2113,,Int16,2113.0
42136,2135,2113,,Int16 / 10,211.3
42136,2135,2113,,Int16 / 100,21.13
42136,2135,2113,,Int16 / 1000,2.113
42136,2135,2113,,UInt16,2113.0
42136,2135,2113,,UInt16 / 10,211.3
42136,2135,2113,,UInt16 / 100,21.13
42136,2135,2113,,UInt16 / 1000,2.113
42139,2138,30875,,Int16 / 10,3087.5
42139,2138,30875,,Int16 / 100,308.75
42139,2138,30875,,Int16 / 1000,30.875
42139,2138,30875,,UInt16 / 10,3087.5
42139,2138,30875,,UInt16 / 100,308.75
42139,2138,30875,,UInt16 / 1000,30.875
42140,2139,544,,Int16,544.0
42140,2139,544,,Int16 / 10,54.4
42140,2139,544,,Int16 / 100,5.44
42140,2139,544,,Int16 / 1000,0.544
42140,2139,544,,UInt16,544.0
42140,2139,544,,UInt16 / 10,54.4
42140,2139,544,,UInt16 / 100,5.44
42140,2139,544,,UInt16 / 1000,0.544
42155,2154,65535,,Int16,-1.0
42155,2154,65535,,Int16 / 10,-0.1
42155,2154,65535,,Int16 / 100,-0.01
42155,2154,65535,,Int16 / 1000,-0.001
42155,2154,65535,,UInt16 / 10,6553.5
42155,2154,65535,,UInt16 / 100,655.35
42155,2154,65535,,UInt16 / 1000,65.535
42156,2155,65407,,Int16,-129.0
42156,2155,65407,,Int16 / 10,-12.9
42156,2155,65407,,Int16 / 100,-1.29
42156,2155,65407,,Int16 / 1000,-0.129
42156,2155,65407,,UInt16 / 10,6540.7
42156,2155,65407,,UInt16 / 100,654.07
42156,2155,65407,,UInt16 / 1000,65.407
42157,2156,1536,,Int16,1536.0
42157,2156,1536,,Int16 / 10,153.6
42157,2156,1536,,Int16 / 100,15.36
42157,2156,1536,,Int16 / 1000,1.536
42157,2156,1536,,UInt16,1536.0
42157,2156,1536,,UInt16 / 10,153.6
42157,2156,1536,,UInt16 / 100,15.36
42157,2156,1536,,UInt16 / 1000,1.536
42159,2158,26214,58944,Float DCBA,7.199999809265137
42159,2158,26214,,Int16 / 10,2621.4
42159,2158,26214,,Int16 / 100,262.14
42159,2158,26214,,Int16 / 1000,26.214
42159,2158,26214,,UInt16 / 10,2621.4
42159,2158,26214,,UInt16 / 100,262.14
42159,2158,26214,,UInt16 / 1000,26.214
42160,2159,58944,52684,Float BADC,7.212500095367432
42160,2159,58944,,Int16 / 10,-659.2
42160,2159,58944,,Int16 / 100,-65.92
42160,2159,58944,,Int16 / 1000,-6.592
42160,2159,58944,,UInt16 / 10,5894.4
42160,2159,58944,,UInt16 / 100,589.44
42160,2159,58944,,UInt16 / 1000,58.944
42161,2160,52684,52285,Float DCBA,0.10000000149011612
42161,2160,52684,,Int16 / 100,-128.52
42161,2160,52684,,Int16 / 1000,-12.852
42161,2160,52684,,UInt16 / 10,5268.4
42161,2160,52684,,UInt16 / 100,526.84
42161,2160,52684,,UInt16 / 1000,52.684
42162,2161,52285,52684,Float BADC,0.10000000149011612
42162,2161,52285,,Int16 / 100,-132.51
42162,2161,52285,,Int16 / 1000,-13.251
42162,2161,52285,,UInt16 / 10,5228.5
42162,2161,52285,,UInt16 / 100,522.85
42162,2161,52285,,UInt16 / 1000,52.285
42163,2162,52684,19518,Float DCBA,0.20000000298023224
42163,2162,52684,,Int16 / 100,-128.52
42163,2162,52684,,Int16 / 1000,-12.852
42163,2162,52684,,UInt16 / 10,5268.4
42163,2162,52684,,UInt16 / 100,526.84
42163,2162,52684,,UInt16 / 1000,52.684
42164,2163,19518,0,Float BADC,0.19921875
42164,2163,19518,,Int16 / 10,1951.8
42164,2163,19518,,Int16 / 100,195.18
42164,2163,19518,,Int16 / 1000,19.518
42164,2163,19518,,UInt16 / 10,1951.8
42164,2163,19518,,UInt16 / 100,195.18
42164,2163,19518,,UInt16 / 1000,19.518
42172,2171,0,49300,Float CDAB,-4.625
42173,2172,49300,1854,Float ABCD,-4.625884056091309
42173,2172,49300,1854,Float DCBA,0.13240337371826172
42173,2172,49300,,Int16 / 100,-162.36
42173,2172,49300,,Int16 / 1000,-16.236
42173,2172,49300,,UInt16 / 10,4930.0
42173,2172,49300,,UInt16 / 100,493.0
42173,2172,49300,,UInt16 / 1000,49.3
42174,2173,1854,21593,Float BADC,0.1321766972541809
42174,2173,1854,,Int16,1854.0
42174,2173,1854,,Int16 / 10,185.4
42174,2173,1854,,Int16 / 100,18.54
42174,2173,1854,,Int16 / 1000,1.854
42174,2173,1854,,UInt16,1854.0
42174,2173,1854,,UInt16 / 10,185.4
42174,2173,1854,,UInt16 / 100,18.54
42174,2173,1854,,UInt16 / 1000,1.854
42175,2174,21593,55356,Float DCBA,0.026409782469272614
42175,2174,21593,,Int16 / 10,2159.3
42175,2174,21593,,Int16 / 100,215.93
42175,2174,21593,,Int16 / 1000,21.593
42175,2174,21593,,UInt16 / 10,2159.3
42175,2174,21593,,UInt16 / 100,215.93
42175,2174,21593,,UInt16 / 1000,21.593
42176,2175,55356,0,Float BADC,0.0263671875
42176,2175,55356,,Int16 / 100,-101.8
42176,2175,55356,,Int16 / 1000,-10.18
42176,2175,55356,,UInt16 / 10,5535.6
42176,2175,55356,,UInt16 / 100,553.56
42176,2175,55356,,UInt16 / 1000,55.356
42181,2180,1280,,Int16,1280.0
42181,2180,1280,,Int16 / 10,128.0
42181,2180,1280,,Int16 / 100,12.8
42181,2180,1280,,Int16 / 1000,1.28
42181,2180,1280,,UInt16,1280.0
42181,2180,1280,,UInt16 / 10,128.0
42181,2180,1280,,UInt16 / 100,12.8
42181,2180,1280,,UInt16 / 1000,1.28
42182,2181,9480,,Int16,9480.0
42182,2181,9480,,Int16 / 10,948.0
42182,2181,9480,,Int16 / 100,94.8
42182,2181,9480,,Int16 / 1000,9.48
42182,2181,9480,,UInt16,9480.0
42182,2181,9480,,UInt16 / 10,948.0
42182,2181,9480,,UInt16 / 100,94.8
42182,2181,9480,,UInt16 / 1000,9.48
42183,2182,32849,,Int16 / 100,-326.87
42183,2182,32849,,Int16 / 1000,-32.687
42183,2182,32849,,UInt16 / 10,3284.9
42183,2182,32849,,UInt16 / 100,328.49
42183,2182,32849,,UInt16 / 1000,32.849
42184,2183,256,,Int16,256.0
42184,2183,256,,Int16 / 10,25.6
42184,2183,256,,Int16 / 100,2.56
42184,2183,256,,Int16 / 1000,0.256
42184,2183,256,,UInt16,256.0
42184,2183,256,,UInt16 / 10,25.6
42184,2183,256,,UInt16 / 100,2.56
42184,2183,256,,UInt16 / 1000,0.256
42185,2184,52684,52285,Float DCBA,0.10000000149011612
42185,2184,52684,,Int16 / 100,-128.52
42185,2184,52684,,Int16 / 1000,-12.852
42185,2184,52684,,UInt16 / 10,5268.4
42185,2184,52684,,UInt16 / 100,526.84
42185,2184,52684,,UInt16 / 1000,52.684
42186,2185,52285,0,Float BADC,0.099609375
42186,2185,52285,,Int16 / 100,-132.51
42186,2185,52285,,Int16 / 1000,-13.251
42186,2185,52285,,UInt16 / 10,5228.5
42186,2185,52285,,UInt16 / 100,522.85
42186,2185,52285,,UInt16 / 1000,52.285
42191,2190,35995,,Int16 / 100,-295.41
42191,2190,35995,,Int16 / 1000,-29.541
42191,2190,35995,,UInt16 / 10,3599.5
42191,2190,35995,,UInt16 / 100,359.95
42191,2190,35995,,UInt16 / 1000,35.995
42192,2191,544,,Int16,544.0
42192,2191,544,,Int16 / 10,54.4
42192,2191,544,,Int16 / 100,5.44
42192,2191,544,,Int16 / 1000,0.544
42192,2191,544,,UInt16,544.0
42192,2191,544,,UInt16 / 10,54.4
42192,2191,544,,UInt16 / 100,5.44
42192,2191,544,,UInt16 / 1000,0.544
42207,2206,1172,,Int16,1172.0
42207,2206,1172,,Int16 / 10,117.2
42207,2206,1172,,Int16 / 100,11.72
42207,2206,1172,,Int16 / 1000,1.172
42207,2206,1172,,UInt16,1172.0
42207,2206,1172,,UInt16 / 10,117.2
42207,2206,1172,,UInt16 / 100,11.72
42207,2206,1172,,UInt16 / 1000,1.172
42208,2207,544,,Int16,544.0
42208,2207,544,,Int16 / 10,54.4
42208,2207,544,,Int16 / 100,5.44
42208,2207,544,,Int16 / 1000,0.544
42208,2207,544,,UInt16,544.0
42208,2207,544,,UInt16 / 10,54.4
42208,2207,544,,UInt16 / 100,5.44
42208,2207,544,,UInt16 / 1000,0.544
42209,2208,768,,Int16,768.0
42209,2208,768,,Int16 / 10,76.8
42209,2208,768,,Int16 / 100,7.68
42209,2208,768,,Int16 / 1000,0.768
42209,2208,768,,UInt16,768.0
42209,2208,768,,UInt16 / 10,76.8
42209,2208,768,,UInt16 / 100,7.68
42209,2208,768,,UInt16 / 1000,0.768
42211,2210,25755,,Int16 / 10,2575.5
42211,2210,25755,,Int16 / 100,257.55
42211,2210,25755,,Int16 / 1000,25.755
42211,2210,25755,,UInt16 / 10,2575.5
42211,2210,25755,,UInt16 / 100,257.55
42211,2210,25755,,UInt16 / 1000,25.755
42212,2211,544,,Int16,544.0
42212,2211,544,,Int16 / 10,54.4
42212,2211,544,,Int16 / 100,5.44
42212,2211,544,,Int16 / 1000,0.544
42212,2211,544,,UInt16,544.0
42212,2211,544,,UInt16 / 10,54.4
42212,2211,544,,UInt16 / 100,5.44
42212,2211,544,,UInt16 / 1000,0.544
42213,2212,65535,,Int16,-1.0
42213,2212,65535,,Int16 / 10,-0.1
42213,2212,65535,,Int16 / 100,-0.01
42213,2212,65535,,Int16 / 1000,-0.001
42213,2212,65535,,UInt16 / 10,6553.5
42213,2212,65535,,UInt16 / 100,655.35
42213,2212,65535,,UInt16 / 1000,65.535
42214,2213,65407,,Int16,-129.0
42214,2213,65407,,Int16 / 10,-12.9
42214,2213,65407,,Int16 / 100,-1.29
42214,2213,65407,,Int16 / 1000,-0.129
42214,2213,65407,,UInt16 / 10,6540.7
42214,2213,65407,,UInt16 / 100,654.07
42214,2213,65407,,UInt16 / 1000,65.407
42215,2214,65535,,Int16,-1.0
42215,2214,65535,,Int16 / 10,-0.1
42215,2214,65535,,Int16 / 100,-0.01
42215,2214,65535,,Int16 / 1000,-0.001
42215,2214,65535,,UInt16 / 10,6553.5
42215,2214,65535,,UInt16 / 100,655.35
42215,2214,65535,,UInt16 / 1000,65.535
42216,2215,65407,,Int16,-129.0
42216,2215,65407,,Int16 / 10,-12.9
42216,2215,65407,,Int16 / 100,-1.29
42216,2215,65407,,Int16 / 1000,-0.129
42216,2215,65407,,UInt16 / 10,6540.7
42216,2215,65407,,UInt16 / 100,654.07
42216,2215,65407,,UInt16 / 1000,65.407
42218,2217,0,14483,Float CDAB,7.009506225585938e-05
42219,2218,14483,544,Float ABCD,7.009902037680149e-05
42219,2218,14483,,Int16 / 10,1448.3
42219,2218,14483,,Int16 / 100,144.83
42219,2218,14483,,Int16 / 1000,14.483
42219,2218,14483,,UInt16 / 10,1448.3
42219,2218,14483,,UInt16 / 100,144.83
42219,2218,14483,,UInt16 / 1000,14.483
42220,2219,544,,Int16,544.0
