address_zero_based,plc_address,unsigned_16,signed_16,hex
284,40285,4,4,0x0004
285,40286,0,0,0x0000
286,40287,128,128,0x0080
287,40288,20737,20737,0x5101
288,40289,10,10,0x000A
289,40290,0,0,0x0000
290,40291,4,4,0x0004
291,40292,0,0,0x0000
292,40293,0,0,0x0000
293,40294,0,0,0x0000
294,40295,0,0,0x0000
295,40296,3,3,0x0003
296,40297,256,256,0x0100
297,40298,112,112,0x0070
298,40299,80,80,0x0050
299,40300,18512,18512,0x4850
300,40301,21837,21837,0x554D
301,40302,20525,20525,0x502D
302,40303,20306,20306,0x4F52
303,40304,20560,20560,0x5050
304,40305,21837,21837,0x554D
305,40306,20480,20480,0x5000
306,40307,1,1,0x0001
307,40308,60,60,0x003C
308,40309,211,211,0x00D3
309,40310,0,0,0x0000
310,40311,0,0,0x0000
311,40312,0,0,0x0000
312,40313,0,0,0x0000
313,40314,0,0,0x0000
314,40315,0,0,0x0000
315,40316,0,0,0x0000
316,40317,0,0,0x0000
317,40318,0,0,0x0000
318,40319,0,0,0x0000
319,40320,0,0,0x0000
320,40321,0,0,0x0000
321,40322,0,0,0x0000
322,40323,0,0,0x0000
323,40324,0,0,0x0000
324,40325,0,0,0x0000
325,40326,0,0,0x0000
326,40327,0,0,0x0000
327,40328,0,0,0x0000
328,40329,0,0,0x0000
329,40330,0,0,0x0000
330,40331,0,0,0x0000
331,40332,0,0,0x0000
332,40333,0,0,0x0000
333,40334,0,0,0x0000
334,40335,0,0,0x0000
335,40336,0,0,0x0000
336,40337,0,0,0x0000
337,40338,0,0,0x0000
338,40339,0,0,0x0000
339,40340,0,0,0x0000
340,40341,0,0,0x0000
341,40342,0,0,0x0000
342,40343,0,0,0x0000
343,40344,0,0,0x0000
344,40345,0,0,0x0000
345,40346,0,0,0x0000
346,40347,0,0,0x0000
347,40348,0,0,0x0000
348,40349,0,0,0x0000
349,40350,0,0,0x0000
350,40351,0,0,0x0000
351,40352,0,0,0x0000
352,40353,0,0,0x0000
353,40354,0,0,0x0000
354,40355,0,0,0x0000
355,40356,0,0,0x0000
356,40357,0,0,0x0000
357,40358,0,0,0x0000
358,40359,0,0,0x0000
359,40360,0,0,0x0000
360,40361,0,0,0x0000
361,40362,0,0,0x0000
362,40363,0,0,0x0000
363,40364,0,0,0x0000
364,40365,0,0,0x0000
365,40366,0,0,0x0000
366,40367,0,0,0x0000
367,40368,0,0,0x0000
368,40369,0,0,0x0000
369,40370,0,0,0x0000
370,40371,0,0,0x0000
371,40372,0,0,0x0000
372,40373,0,0,0x0000
373,40374,0,0,0x0000
374,40375,0,0,0x0000
375,40376,0,0,0x0000
376,40377,0,0,0x0000
377,40378,0,0,0x0000
378,40379,0,0,0x0000
379,40380,0,0,0x0000
380,40381,0,0,0x0000
381,40382,0,0,0x0000
382,40383,0,0,0x0000
383,40384,0,0,0x0000
384,40385,0,0,0x0000
385,40386,0,0,0x0000
386,40387,0,0,0x0000
387,40388,0,0,0x0000
388,40389,0,0,0x0000
389,40390,0,0,0x0000
390,40391,0,0,0x0000
391,40392,0,0,0x0000
392,40393,0,0,0x0000
393,40394,0,0,0x0000
394,40395,0,0,0x0000
395,40396,0,0,0x0000
396,40397,0,0,0x0000
397,40398,0,0,0x0000
398,40399,0,0,0x0000
399,40400,0,0,0x0000
400,40401,0,0,0x0000
401,40402,0,0,0x0000
402,40403,0,0,0x0000
403,40404,0,0,0x0000
404,40405,0,0,0x0000
405,40406,0,0,0x0000
406,40407,0,0,0x0000
407,40408,0,0,0x0000
408,40409,0,0,0x0000
409,40410,0,0,0x0000
410,40411,0,0,0x0000
411,40412,0,0,0x0000
412,40413,0,0,0x0000
413,40414,0,0,0x0000
414,40415,0,0,0x0000
415,40416,0,0,0x0000
416,40417,0,0,0x0000
417,40418,0,0,0x0000
418,40419,0,0,0x0000
419,40420,0,0,0x0000
420,40421,0,0,0x0000
421,40422,0,0,0x0000
422,40423,0,0,0x0000
423,40424,0,0,0x0000
424,40425,0,0,0x0000
425,40426,0,0,0x0000
426,40427,0,0,0x0000
427,40428,0,0,0x0000
428,40429,0,0,0x0000
429,40430,0,0,0x0000
430,40431,0,0,0x0000
431,40432,0,0,0x0000
432,40433,0,0,0x0000
433,40434,0,0,0x0000
434,40435,0,0,0x0000
435,40436,0,0,0x0000
436,40437,0,0,0x0000
437,40438,0,0,0x0000
438,40439,0,0,0x0000
439,40440,0,0,0x0000
440,40441,0,0,0x0000
441,40442,0,0,0x0000
442,40443,0,0,0x0000
443,40444,0,0,0x0000
444,40445,0,0,0x0000
445,40446,0,0,0x0000
446,40447,0,0,0x0000
447,40448,0,0,0x0000
448,40449,0,0,0x0000
449,40450,0,0,0x0000
450,40451,0,0,0x0000
451,40452,0,0,0x0000
452,40453,0,0,0x0000
453,40454,0,0,0x0000
454,40455,0,0,0x0000
455,40456,0,0,0x0000
456,40457,0,0,0x0000
457,40458,0,0,0x0000
458,40459,0,0,0x0000
459,40460,0,0,0x0000
460,40461,0,0,0x0000
461,40462,0,0,0x0000
462,40463,0,0,0x0000
463,40464,0,0,0x0000
464,40465,0,0,0x0000
465,40466,0,0,0x0000
466,40467,0,0,0x0000
467,40468,0,0,0x0000
468,40469,0,0,0x0000
469,40470,0,0,0x0000
470,40471,0,0,0x0000
471,40472,0,0,0x0000
472,40473,0,0,0x0000
473,40474,0,0,0x0000
474,40475,0,0,0x0000
475,40476,0,0,0x0000
476,40477,0,0,0x0000
477,40478,0,0,0x0000
478,40479,0,0,0x0000
479,40480,0,0,0x0000
480,40481,0,0,0x0000
481,40482,0,0,0x0000
482,40483,0,0,0x0000
483,40484,0,0,0x0000
484,40485,0,0,0x0000
485,40486,0,0,0x0000
486,40487,0,0,0x0000
487,40488,0,0,0x0000
488,40489,0,0,0x0000
489,40490,0,0,0x0000
490,40491,0,0,0x0000
491,40492,0,0,0x0000
492,40493,0,0,0x0000
493,40494,0,0,0x0000
494,40495,0,0,0x0000
495,40496,0,0,0x0000
496,40497,0,0,0x0000
497,40498,0,0,0x0000
498,40499,0,0,0x0000
499,40500,0,0,0x0000
500,40501,0,0,0x0000
501,40502,0,0,0x0000
502,40503,0,0,0x0000
503,40504,0,0,0x0000
504,40505,0,0,0x0000
505,40506,0,0,0x0000
506,40507,0,0,0x0000
507,40508,0,0,0x0000
508,40509,0,0,0x0000
509,40510,0,0,0x0000
510,40511,0,0,0x0000
511,40512,0,0,0x0000
512,40513,0,0,0x0000
513,40514,0,0,0x0000
514,40515,0,0,0x0000
515,40516,0,0,0x0000
516,40517,0,0,0x0000
517,40518,0,0,0x0000
518,40519,0,0,0x0000
519,40520,0,0,0x0000
520,40521,0,0,0x0000
521,40522,0,0,0x0000
522,40523,0,0,0x0000
523,40524,0,0,0x0000
524,40525,0,0,0x0000
525,40526,0,0,0x0000
526,40527,0,0,0x0000
527,40528,0,0,0x0000
528,40529,0,0,0x0000
529,40530,0,0,0x0000
530,40531,0,0,0x0000
531,40532,0,0,0x0000
532,40533,0,0,0x0000
533,40534,0,0,0x0000
534,40535,0,0,0x0000
535,40536,0,0,0x0000
536,40537,0,0,0x0000
537,40538,0,0,0x0000
538,40539,0,0,0x0000
539,40540,0,0,0x0000
540,40541,0,0,0x0000
541,40542,0,0,0x0000
542,40543,0,0,0x0000
543,40544,0,0,0x0000
544,40545,0,0,0x0000
545,40546,0,0,0x0000
546,40547,0,0,0x0000
547,40548,0,0,0x0000
548,40549,0,0,0x0000
549,40550,0,0,0x0000
550,40551,0,0,0x0000
551,40552,0,0,0x0000
552,40553,0,0,0x0000
553,40554,0,0,0x0000
554,40555,0,0,0x0000
555,40556,0,0,0x0000
556,40557,0,0,0x0000
557,40558,0,0,0x0000
558,40559,0,0,0x0000
559,40560,0,0,0x0000
560,40561,0,0,0x0000
561,40562,0,0,0x0000
562,40563,0,0,0x0000
563,40564,0,0,0x0000
564,40565,0,0,0x0000
565,40566,0,0,0x0000
566,40567,0,0,0x0000
567,40568,0,0,0x0000
568,40569,0,0,0x0000
569,40570,0,0,0x0000
570,40571,0,0,0x0000
571,40572,0,0,0x0000
572,40573,0,0,0x0000
573,40574,0,0,0x0000
574,40575,0,0,0x0000
575,40576,0,0,0x0000
576,40577,0,0,0x0000
577,40578,0,0,0x0000
578,40579,0,0,0x0000
579,40580,0,0,0x0000
580,40581,0,0,0x0000
581,40582,0,0,0x0000
582,40583,0,0,0x0000
583,40584,0,0,0x0000
584,40585,0,0,0x0000
585,40586,0,0,0x0000
586,40587,0,0,0x0000
587,40588,0,0,0x0000
588,40589,0,0,0x0000
589,40590,0,0,0x0000
590,40591,0,0,0x0000
591,40592,0,0,0x0000
592,40593,0,0,0x0000
593,40594,0,0,0x0000
594,40595,0,0,0x0000
595,40596,0,0,0x0000
596,40597,0,0,0x0000
597,40598,0,0,0x0000
598,40599,0,0,0x0000
599,40600,0,0,0x0000
600,40601,0,0,0x0000
601,40602,0,0,0x0000
602,40603,0,0,0x0000
603,40604,0,0,0x0000
604,40605,0,0,0x0000
605,40606,0,0,0x0000
606,40607,0,0,0x0000
607,40608,0,0,0x0000
608,40609,0,0,0x0000
609,40610,0,0,0x0000
610,40611,0,0,0x0000
611,40612,0,0,0x0000
612,40613,0,0,0x0000
613,40614,0,0,0x0000
614,40615,0,0,0x0000
615,40616,0,0,0x0000
616,40617,0,0,0x0000
617,40618,0,0,0x0000
618,40619,0,0,0x0000
619,40620,0,0,0x0000
620,40621,0,0,0x0000
621,40622,0,0,0x0000
622,40623,0,0,0x0000
623,40624,0,0,0x0000
624,40625,0,0,0x0000
625,40626,0,0,0x0000
626,40627,0,0,0x0000
627,40628,0,0,0x0000
628,40629,0,0,0x0000
629,40630,0,0,0x0000
630,40631,0,0,0x0000
631,40632,0,0,0x0000
632,40633,0,0,0x0000
633,40634,0,0,0x0000
634,40635,0,0,0x0000
635,40636,0,0,0x0000
636,40637,0,0,0x0000
637,40638,0,0,0x0000
638,40639,0,0,0x0000
639,40640,0,0,0x0000
640,40641,0,0,0x0000
641,40642,0,0,0x0000
642,40643,0,0,0x0000
643,40644,0,0,0x0000
644,40645,0,0,0x0000
645,40646,0,0,0x0000
646,40647,0,0,0x0000
647,40648,0,0,0x0000
648,40649,0,0,0x0000
649,40650,0,0,0x0000
650,40651,0,0,0x0000
651,40652,0,0,0x0000
652,40653,0,0,0x0000
653,40654,0,0,0x0000
654,40655,0,0,0x0000
655,40656,0,0,0x0000
656,40657,0,0,0x0000
657,40658,0,0,0x0000
658,40659,0,0,0x0000
659,40660,0,0,0x0000
660,40661,0,0,0x0000
661,40662,0,0,0x0000
662,40663,0,0,0x0000
663,40664,0,0,0x0000
664,40665,0,0,0x0000
665,40666,0,0,0x0000
666,40667,0,0,0x0000
667,40668,0,0,0x0000
668,40669,0,0,0x0000
669,40670,0,0,0x0000
670,40671,0,0,0x0000
671,40672,0,0,0x0000
672,40673,0,0,0x0000
673,40674,0,0,0x0000
674,40675,0,0,0x0000
675,40676,0,0,0x0000
676,40677,0,0,0x0000
677,40678,0,0,0x0000
678,40679,0,0,0x0000
679,40680,0,0,0x0000
680,40681,0,0,0x0000
681,40682,0,0,0x0000
682,40683,0,0,0x0000
683,40684,0,0,0x0000
684,40685,0,0,0x0000
685,40686,0,0,0x0000
686,40687,0,0,0x0000
687,40688,0,0,0x0000
688,40689,0,0,0x0000
689,40690,0,0,0x0000
690,40691,0,0,0x0000
691,40692,0,0,0x0000
692,40693,0,0,0x0000
693,40694,0,0,0x0000
694,40695,0,0,0x0000
695,40696,0,0,0x0000
696,40697,0,0,0x0000
697,40698,0,0,0x0000
698,40699,0,0,0x0000
699,40700,0,0,0x0000
700,40701,0,0,0x0000
701,40702,0,0,0x0000
702,40703,0,0,0x0000
703,40704,0,0,0x0000
704,40705,0,0,0x0000
705,40706,0,0,0x0000
706,40707,0,0,0x0000
707,40708,0,0,0x0000
708,40709,0,0,0x0000
709,40710,0,0,0x0000
710,40711,0,0,0x0000
711,40712,0,0,0x0000
712,40713,0,0,0x0000
713,40714,0,0,0x0000
714,40715,0,0,0x0000
715,40716,0,0,0x0000
716,40717,0,0,0x0000
717,40718,0,0,0x0000
718,40719,0,0,0x0000
719,40720,0,0,0x0000
720,40721,0,0,0x0000
721,40722,0,0,0x0000
722,40723,0,0,0x0000
723,40724,0,0,0x0000
724,40725,0,0,0x0000
725,40726,0,0,0x0000
726,40727,0,0,0x0000
727,40728,0,0,0x0000
728,40729,0,0,0x0000
729,40730,0,0,0x0000
730,40731,0,0,0x0000
731,40732,0,0,0x0000
732,40733,0,0,0x0000
733,40734,0,0,0x0000
734,40735,0,0,0x0000
735,40736,0,0,0x0000
736,40737,0,0,0x0000
737,40738,0,0,0x0000
738,40739,0,0,0x0000
739,40740,0,0,0x0000
740,40741,0,0,0x0000
741,40742,0,0,0x0000
742,40743,0,0,0x0000
743,40744,0,0,0x0000
744,40745,0,0,0x0000
745,40746,0,0,0x0000
746,40747,0,0,0x0000
747,40748,0,0,0x0000
748,40749,0,0,0x0000
749,40750,0,0,0x0000
750,40751,0,0,0x0000
751,40752,0,0,0x0000
752,40753,0,0,0x0000
753,40754,0,0,0x0000
754,40755,0,0,0x0000
755,40756,0,0,0x0000
756,40757,0,0,0x0000
757,40758,0,0,0x0000
758,40759,0,0,0x0000
759,40760,0,0,0x0000
760,40761,0,0,0x0000
761,40762,0,0,0x0000
762,40763,0,0,0x0000
763,40764,0,0,0x0000
764,40765,0,0,0x0000
765,40766,0,0,0x0000
766,40767,0,0,0x0000
767,40768,0,0,0x0000
768,40769,0,0,0x0000
769,40770,0,0,0x0000
770,40771,0,0,0x0000
771,40772,0,0,0x0000
772,40773,0,0,0x0000
773,40774,0,0,0x0000
774,40775,0,0,0x0000
775,40776,0,0,0x0000
776,40777,0,0,0x0000
777,40778,0,0,0x0000
778,40779,0,0,0x0000
779,40780,0,0,0x0000
780,40781,0,0,0x0000
781,40782,0,0,0x0000
782,40783,0,0,0x0000
783,40784,0,0,0x0000
784,40785,0,0,0x0000
785,40786,0,0,0x0000
786,40787,0,0,0x0000
787,40788,0,0,0x0000
788,40789,0,0,0x0000
789,40790,0,0,0x0000
790,40791,0,0,0x0000
791,40792,0,0,0x0000
792,40793,0,0,0x0000
793,40794,0,0,0x0000
794,40795,0,0,0x0000
795,40796,0,0,0x0000
796,40797,0,0,0x0000
797,40798,0,0,0x0000
798,40799,0,0,0x0000
